enm_id,column_length,column_width,porosity,darcy_velocity,influent_concentration_enm,influent_pore_volumes,ph,electrolyte_concentration,electrolyte_id,enm_density,enm_isoelectric_point,enm_zeta_potential,collector_zeta_potential,enm_diameter,collector_diameter,collector_coating,concentration_nom,nom_id,hamaker_constant_combined,enm_relative_permittivity,valence,electrolyte_rel_conc,ionic_strength,debye_length,n_dl,n_asp,n_att,n_g,n_Pe,n_Lo,n_por,m_inf,n_z1,n_z2,n_asp_c
TiO2,0.1,0.015,0.46,0.00019,100.0,6.0,7.0,1.0,KCl,4510,6.2,-27.04,-41.7,1.19e-06,0.000275,None,0.0,None,1e-20,110.0,"[1, -1]","[1, 1]",1.0,1.13873998131e-08,104.501468249,0.00432727272727,0.00441106878451,15961420.2902,127269.215078,0.40488362522,26.6975437361,0.731598389205,63.5389494471,0.912991453296,6.66666666667
TiO2,0.1,0.015,0.46,0.00019,200.0,6.0,7.0,1.0,KCl,4510,6.2,-27.04,-41.7,1.35e-06,0.000275,None,0.0,None,1e-20,110.0,"[1, -1]","[1, 1]",1.0,1.13873998131e-08,118.552085828,0.00490909090909,0.00342744280151,20542114.5957,144381.042315,0.40488362522,26.6975437361,0.731598389205,72.0820014736,0.912991453296,6.66666666667
TiO2,0.1,0.015,0.46,0.00095,100.0,6.0,5.0,1.0,KCl,4510,6.2,33.35,-14.8,2.9e-07,0.000275,None,0.0,None,1e-20,110.0,"[1, -1]","[1, 1]",1.0,1.13873998131e-08,25.4667443631,0.00105454545455,0.0148549690981,189584.838134,155075.934339,0.40488362522,26.6975437361,0.731598389205,8.3454303939,-0.741521675853,6.66666666667
TiO2,0.1,0.015,0.46,0.00095,200.0,6.0,5.0,1.0,KCl,4510,6.2,33.35,-14.8,2.87e-07,0.000275,None,0.0,None,1e-20,110.0,"[1, -1]","[1, 1]",1.0,1.13873998131e-08,25.2032952835,0.00104363636364,0.0151671490627,185682.681716,153471.700535,0.40488362522,26.6975437361,0.731598389205,8.25909835535,-0.741521675853,6.66666666667
TiO2,0.1,0.015,0.46,0.00095,100.0,6.0,7.0,1.0,KCl,4510,6.2,-21.62,-22.3,1.19e-06,0.000275,None,0.0,None,1e-20,110.0,"[1, -1]","[1, 1]",1.0,1.13873998131e-08,104.501468249,0.00432727272727,0.000882213756902,3192284.05805,636346.07539,0.40488362522,26.6975437361,0.731598389205,24.8160562688,0.999520687159,6.66666666667
TiO2,0.1,0.015,0.46,0.00095,200.0,6.0,7.0,1.0,KCl,4510,6.2,-21.62,-22.3,1.35e-06,0.000275,None,0.0,None,1e-20,110.0,"[1, -1]","[1, 1]",1.0,1.13873998131e-08,118.552085828,0.00490909090909,0.000685488560301,4108422.91914,721905.211577,0.40488362522,26.6975437361,0.731598389205,28.1526688764,0.999520687159,6.66666666667
TiO2,0.1,0.015,0.46,0.00019,100.0,6.0,5.0,10.0,KCl,4510,6.2,33.35,-9.1,1.07e-06,0.000275,None,0.0,None,1e-20,110.0,"[1, -1]","[1, 1]",10.0,3.60101200363e-09,297.138692934,0.00389090909091,0.00545594768604,12904618.3817,114435.34465,0.40488362522,26.6975437361,0.731598389205,27.640795435,-0.507910872717,6.66666666667
TiO2,0.1,0.015,0.46,0.00019,200.0,6.0,5.0,10.0,KCl,4510,6.2,33.35,-9.1,1.04e-06,0.000275,None,0.0,None,1e-20,110.0,"[1, -1]","[1, 1]",10.0,3.60101200363e-09,288.807701544,0.00378181818182,0.00577525379599,12191139.1752,111226.877043,0.40488362522,26.6975437361,0.731598389205,26.8658198621,-0.507910872717,6.66666666667
TiO2,0.1,0.015,0.46,0.00019,100.0,6.0,7.0,10.0,KCl,4510,6.2,-21.62,-22.2,1.34e-06,0.000275,None,0.0,None,1e-20,110.0,"[1, -1]","[1, 1]",10.0,3.60101200363e-09,372.117615451,0.00487272727273,0.0034787895443,20238914.1114,143311.553113,0.40488362522,26.6975437361,0.731598389205,27.8152309046,0.999649679817,6.66666666667
TiO2,0.1,0.015,0.46,0.00019,200.0,6.0,7.0,10.0,KCl,4510,6.2,-21.62,-22.2,1.28e-06,0.000275,None,0.0,None,1e-20,110.0,"[1, -1]","[1, 1]",10.0,3.60101200363e-09,355.455632669,0.00465454545455,0.00381256988876,18467051.0582,136894.617899,0.40488362522,26.6975437361,0.731598389205,26.5697728044,0.999649679817,6.66666666667
TiO2,0.1,0.015,0.46,0.00095,100.0,6.0,5.0,10.0,KCl,4510,6.2,33.35,-9.1,1.07e-06,0.000275,None,0.0,None,1e-20,110.0,"[1, -1]","[1, 1]",10.0,3.60101200363e-09,297.138692934,0.00389090909091,0.00109118953721,2580923.67634,572176.72325,0.40488362522,26.6975437361,0.731598389205,27.640795435,-0.507910872717,6.66666666667
TiO2,0.1,0.015,0.46,0.00095,200.0,6.0,5.0,10.0,KCl,4510,6.2,33.35,-9.1,1.04e-06,0.000275,None,0.0,None,1e-20,110.0,"[1, -1]","[1, 1]",10.0,3.60101200363e-09,288.807701544,0.00378181818182,0.0011550507592,2438227.83503,556134.385215,0.40488362522,26.6975437361,0.731598389205,26.8658198621,-0.507910872717,6.66666666667
TiO2,0.1,0.015,0.46,0.00095,100.0,6.0,7.0,10.0,KCl,4510,6.2,-21.62,-22.2,1.34e-06,0.000275,None,0.0,None,1e-20,110.0,"[1, -1]","[1, 1]",10.0,3.60101200363e-09,372.117615451,0.00487272727273,0.00069575790886,4047782.82228,716557.765565,0.40488362522,26.6975437361,0.731598389205,27.8152309046,0.999649679817,6.66666666667
TiO2,0.1,0.015,0.46,0.00095,200.0,6.0,7.0,10.0,KCl,4510,6.2,-21.62,-22.2,1.28e-06,0.000275,None,0.0,None,1e-20,110.0,"[1, -1]","[1, 1]",10.0,3.60101200363e-09,355.455632669,0.00465454545455,0.000762513977752,3693410.21164,684473.089495,0.40488362522,26.6975437361,0.731598389205,26.5697728044,0.999649679817,6.66666666667
TiO2,0.3,0.015,0.38,0.00235,50.0,80.0,4.5,10.0,NaCl,4510,5.8,29.1,-22.2,5e-07,0.0002,None,0.0,None,9.73e-21,110.0,"[1, -1]","[1, 1]",10.0,3.60101200363e-09,138.849856511,0.0025,0.00196560533903,227826.038186,481014.28239,0.393951767339,43.072155102,24.1745554694,14.4793276375,-0.964460866644,20.0
