,enm_id,rp_shape,column_length,column_width,porosity,darcy_velocity,influent_concentration_enm,influent_pore_volumes,ph,electrolyte_concentration,electrolyte_id,enm_density,enm_isoelectric_point,enm_zeta_potential,collector_zeta_potential,enm_diameter,collector_diameter,collector_coating,concentration_nom,nom_id,hamaker_constant_combined
47,TiO2,HE,0.1,0.02,0.42,4.63e-05,0.05,4.5,5.0,1.0,NaCl,4510,6.4,-49.18,26.16,5.05e-07,0.00051,IronOxide,0.01,SRHA,6.94e-21
49,TiO2,SIR,0.1,0.02,0.42,4.63e-05,0.05,4.5,5.0,10.0,NaCl,4510,6.4,-49.24,23.47,4.92e-07,0.00051,IronOxide,0.001,SRHA,6.94e-21
50,TiO2,HE,0.1,0.02,0.42,4.63e-05,0.05,4.5,5.0,10.0,NaCl,4510,6.4,-48.08,23.47,4.83e-07,0.00051,IronOxide,0.01,SRHA,6.94e-21
51,TiO2,HE,0.1,0.02,0.42,4.63e-05,0.05,4.5,5.0,0.01,CaCl2,4510,6.4,26.32,33.31,4.54e-07,0.00051,IronOxide,0.0,None,6.94e-21
54,TiO2,EXP,0.1,0.02,0.42,4.63e-05,0.05,4.5,5.0,0.05,CaCl2,4510,6.4,24.28,30.82,4.63e-07,0.00051,IronOxide,0.0,None,6.94e-21
57,TiO2,HE,0.1,0.02,0.42,4.63e-05,0.05,4.5,5.0,0.1,CaCl2,4510,6.4,20.53,27.21,5.36e-07,0.00051,IronOxide,0.0,None,6.94e-21
58,TiO2,SIR,0.1,0.02,0.42,4.63e-05,0.05,4.5,5.0,0.1,CaCl2,4510,6.4,25.59,27.21,4.68e-07,0.00051,IronOxide,0.001,SRHA,6.94e-21
59,TiO2,IRwD,0.1,0.02,0.42,4.63e-05,0.05,4.5,5.0,0.1,CaCl2,4510,6.4,-31.98,27.21,4.68e-07,0.00051,IronOxide,0.01,SRHA,6.94e-21
64,TiO2,SIR,0.1,0.02,0.42,4.63e-05,0.05,4.5,7.0,1.0,NaCl,4510,6.4,-46.79,23.29,4.72e-07,0.00051,IronOxide,0.001,SRHA,6.94e-21
65,TiO2,HE,0.1,0.02,0.42,4.63e-05,0.05,4.5,7.0,1.0,NaCl,4510,6.4,-48.02,23.29,4.78e-07,0.00051,IronOxide,0.01,SRHA,6.94e-21
67,TiO2,SIR,0.1,0.02,0.42,4.63e-05,0.05,4.5,7.0,10.0,NaCl,4510,6.4,-46.54,21.73,4.82e-07,0.00051,IronOxide,0.001,SRHA,6.94e-21
68,TiO2,HE,0.1,0.02,0.42,4.63e-05,0.05,4.5,7.0,10.0,NaCl,4510,6.4,-48.88,21.73,5.09e-07,0.00051,IronOxide,0.01,SRHA,6.94e-21
69,TiO2,EXP,0.1,0.02,0.42,4.63e-05,0.05,4.5,7.0,0.01,CaCl2,4510,6.4,-22.62,27.51,4.64e-07,0.00051,IronOxide,0.0,None,6.94e-21
72,TiO2,EXP,0.1,0.02,0.42,4.63e-05,0.05,4.5,7.0,0.05,CaCl2,4510,6.4,-19.04,25.35,5.55e-07,0.00051,IronOxide,0.0,None,6.94e-21
75,TiO2,EXP,0.1,0.02,0.42,4.63e-05,0.05,4.5,7.0,0.1,CaCl2,4510,6.4,-17.38,24.66,7.74e-07,0.00051,IronOxide,0.0,None,6.94e-21
76,TiO2,SIR,0.1,0.02,0.42,4.63e-05,0.05,4.5,7.0,0.1,CaCl2,4510,6.4,-32.37,24.66,4.54e-07,0.00051,IronOxide,0.001,SRHA,6.94e-21
77,TiO2,HE,0.1,0.02,0.42,4.63e-05,0.05,4.5,7.0,0.1,CaCl2,4510,6.4,-30.43,24.66,4.56e-07,0.00051,IronOxide,0.01,SRHA,6.94e-21
78,ZnO,HE,0.2,0.04,0.42,9.26e-05,0.005,3.0,8.0,0.1,CaCl2,5610,9.4,-17.9,-50.1,4.24e-07,0.00051,None,0.0,None,6.956e-21
79,ZnO,HE,0.2,0.04,0.42,9.26e-05,0.005,3.0,8.0,0.3,CaCl2,5610,9.4,-12.8,-47.0,4.37e-07,0.00051,None,0.0,None,6.956e-21
80,ZnO,HE,0.2,0.04,0.42,9.26e-05,0.005,3.0,8.0,0.5,CaCl2,5610,9.4,-11.0,-40.7,4.57e-07,0.00051,None,0.0,None,6.956e-21
81,ZnO,EXP,0.2,0.04,0.42,9.26e-05,0.005,3.0,8.0,1.0,CaCl2,5610,9.4,-7.8,-34.0,5.07e-07,0.00051,None,0.0,None,6.956e-21
82,ZnO,HE,0.2,0.04,0.42,9.26e-05,0.005,3.0,8.0,1.0,NaCl,5610,9.4,-35.2,-72.3,3.87e-07,0.00051,None,0.0,None,6.956e-21
83,ZnO,HE,0.2,0.04,0.42,9.26e-05,0.005,3.0,8.0,10.0,NaCl,5610,9.4,-22.3,-67.6,4.83e-07,0.00051,None,0.0,None,6.956e-21
84,ZnO,HE,0.2,0.04,0.42,9.26e-05,0.005,3.0,8.0,20.0,NaCl,5610,9.4,-16.2,-61.4,5.83e-07,0.00051,None,0.0,None,6.956e-21
85,ZnO,HE,0.2,0.04,0.42,9.26e-05,0.005,3.0,8.0,5.0,NaCl,5610,9.4,-13.3,-60.3,6.03e-07,0.00051,None,0.0,None,6.956e-21
86,ZnO,HE,0.2,0.04,0.42,9.26e-05,0.005,3.0,8.0,0.1,CaCl2,5610,9.4,-17.9,-50.2,4.24e-07,0.00051,None,0.0,None,6.96e-21
87,ZnO,HE,0.2,0.04,0.42,9.26e-05,0.005,3.0,8.0,0.1,CaCl2,5610,9.4,-28.0,-50.2,3.03e-07,0.00051,None,0.001,Alg,1.54e-21
88,ZnO,EXP,0.2,0.04,0.42,9.26e-05,0.005,3.0,8.0,0.1,CaCl2,5610,9.4,-29.6,-50.2,2.9e-07,0.00051,None,0.001,SRHA,1.54e-21
89,ZnO,HE,0.2,0.04,0.42,9.26e-05,0.005,3.0,8.0,0.3,CaCl2,5610,9.4,-14.8,-47.0,4.37e-07,0.00051,None,0.0,None,6.96e-21
