influent_concentration_enm,concentration_nom,n_dl,n_asp,n_att,n_g,n_Pe,n_Lo,n_por,m_inf,n_z1,n_z2,n_asp_c,collector_coating=FeOOH,collector_coating=IronOxide,collector_coating=None,enm_id=Ag,enm_id=C60,enm_id=CeO2,enm_id=CuO,enm_id=Fe,enm_id=MWCNT,enm_id=QD,enm_id=TiO2,enm_id=ZnO,enm_id=nBiochar,enm_id=nHAP,nom_id=Alg,nom_id=Citric,nom_id=FA,nom_id=Formic,nom_id=HA,nom_id=None,nom_id=Oxalic,nom_id=SRHA,nom_id=TRIZMA
50.0,0.0,6.9054488254,0.000890196078431,0.0863094059605,9533709.7593,21943.0569087,0.280989235903,33.6391419474,1.18752202306,17.6876288565,0.972890117813,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
50.0,0.0,15.7471531581,0.000907843137255,0.0829865769722,9915444.83393,22378.0514289,0.280989235903,33.6391419474,1.18752202306,15.4069587709,0.972215242549,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
50.0,0.0,25.7810646541,0.00105098039216,0.0619213268509,13288617.4727,25906.3403151,0.280989235903,33.6391419474,1.18752202306,13.4619353815,0.961594161112,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
50.0,1.0,22.5103325711,0.000917647058824,0.081222831831,10130757.6623,22619.7150512,0.280989235903,33.6391419474,1.18752202306,14.1149513741,0.998119022769,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
50.0,10.0,22.5103325711,0.000917647058824,0.081222831831,10130757.6623,22619.7150512,0.280989235903,33.6391419474,1.18752202306,17.8365538617,-0.987094979339,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
50.0,1.0,41.4493218599,0.000925490196078,0.0798520069617,10304673.0725,22813.0459491,0.280989235903,33.6391419474,1.18752202306,27.8718969263,-0.797838599023,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
50.0,10.0,41.9762200192,0.000937254901961,0.0778599355708,10568321.4338,23103.0422959,0.280989235903,33.6391419474,1.18752202306,29.4311650485,-0.785288296412,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
50.0,1.0,133.851261677,0.000945098039216,0.0765730166447,10745937.1719,23296.3731938,0.280989235903,33.6391419474,1.18752202306,27.4875449732,-0.766680167215,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
50.0,10.0,141.349153929,0.000998039215686,0.0686648172539,11983558.0845,24601.3567544,0.280989235903,33.6391419474,1.18752202306,31.4840487945,-0.742395220768,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
50.0,0.0,7.05755122244,0.000909803921569,0.0826292616628,9958322.38321,22426.3841534,0.280989235903,33.6391419474,1.18752202306,12.7228187582,-0.981148782642,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
