NMId,ConcIn,Coating,ConcHA,TypeNOM,N_r,N_a,N_g,N_Pe,N_Lo,N_Dl,M_inj,N_as,N_Z1,N_Z2,N_CA
TiO2,50.0,IronOxide,0.0,None,0.000909803921569,7.38705599265e-05,1.12173894651e-05,22426.3841534,0.280989235903,7.05629663945,1.18752202306,33.6391419474,139.942470385,-0.981148782642,5.0
TiO2,50.0,IronOxide,0.0,None,0.00108823529412,5.1632289814e-05,1.60487718768e-05,26824.66208,0.280989235903,18.8728215951,1.18752202306,33.6391419474,132.640011,-0.960387669788,5.0
TiO2,50.0,IronOxide,0.0,None,0.00151764705882,2.65476101028e-05,3.1213161467e-05,37409.5287386,0.280989235903,37.2220090114,1.18752202306,33.6391419474,167.502574787,-0.941771517722,5.0
TiO2,50.0,IronOxide,1.0,SRHA,0.000890196078431,7.71606089287e-05,1.07390915158e-05,21943.0569087,0.280989235903,21.8330647173,1.18752202306,33.6391419474,178.752333951,-0.964102341128,5.0
TiO2,50.0,IronOxide,10.0,SRHA,0.000894117647059,7.64852457965e-05,1.08339174709e-05,22039.7223576,0.280989235903,21.9292456191,1.18752202306,33.6391419474,166.330499782,-0.978298097159,5.0
ZnO,5.0,None,0.0,None,0.00083137254902,4.43349013092e-05,6.15107983918e-06,40986.1503492,0.281637049703,151.218891644,12.6669015793,33.6391419474,285.344810969,0.633679807237,5.0
ZnO,5.0,None,0.0,None,0.000856862745098,4.1736361492e-05,6.53405107361e-06,42242.8011854,0.281637049703,269.949332741,12.6669015793,33.6391419474,246.548934576,0.507071694678,5.0
ZnO,5.0,None,0.0,None,0.000896078431373,3.81632242326e-05,7.14581964964e-06,44176.1101642,0.281637049703,364.452888179,12.6669015793,33.6391419474,193.141946747,0.503744043567,5.0
ZnO,5.0,None,0.0,None,0.000994117647059,3.1007127893e-05,8.79499444632e-06,49009.382611,0.281637049703,571.80526953,12.6669015793,33.6391419474,146.688029655,0.435883107064,5.0
ZnO,5.0,None,0.0,None,0.000758823529412,5.32176299352e-05,5.12438299014e-06,37409.5287386,0.281637049703,251.994192255,12.6669015793,33.6391419474,595.006990058,0.787142011002,5.0
